id,company,companySlug,title,roleCategory,country,location,isRemote,isInternship,datePostedUtc,firstDiscoveredAtUtc,lastVerifiedAtUtc,scoutJobUrl,sourceUrl
7631784b-0177-426f-8bdb-8586c509c8de,Airbnb,airbnb,"Manager – Engineering, Payments",SeniorSoftwareEngineeringExtensive,Remote,Remote,True,False,,2026-06-24T11:56:32.230014Z,2026-06-24T11:56:32.230014Z,https://www.scoutjob.me/jobs/airbnb-manager-engineering-payments-8009424,https://careers.airbnb.com/positions/8009424
220751a5-3a9e-4f0a-91a6-0639ad6a8359,Airbnb,airbnb,"Senior Software Engineer, Service Tools",SeniorSoftwareEngineering,Remote,Remote,True,False,,2026-06-24T11:56:32.191833Z,2026-06-24T11:56:32.191833Z,https://www.scoutjob.me/jobs/airbnb-senior-software-engineer-service-tools-8024057,https://careers.airbnb.com/positions/8024057
8d558ed7-7b01-401e-bbe7-c3e7b76ea628,Amazon,amazon,"Software Engineer II, AWS Elastic Block Store (EBS) Performance",SoftwareEngineering,United States,United States,False,False,,2026-06-24T11:36:13.29458Z,2026-06-24T11:36:13.29458Z,https://www.scoutjob.me/jobs/amazon-software-engineer-ii-aws-elastic-block-store-ebs-performance-89283bcd-4266-48e6-b39b-4cbc2eaccb1f,https://www.amazon.jobs/en/jobs/10457529/software-engineer-ii-aws-elastic-block-store-ebs-performance
0097ef82-6e6a-40c0-a61d-e6680ac823ef,Amazon,amazon,"Principal Software Engineer, Amazon SageMaker",SeniorSoftwareEngineering,United States,United States,False,False,,2026-06-24T11:14:18.321423Z,2026-06-24T11:14:18.321423Z,https://www.scoutjob.me/jobs/amazon-principal-software-engineer-amazon-sagemaker-fb644589-16e1-4d65-af3e-62e180bc22a3,https://www.amazon.jobs/en/jobs/10457522/principal-software-engineer-amazon-sagemaker
6d08e838-aecc-46f2-88b3-c3be8fc443b5,JPMorgan Chase,jpmorgan,Manager of Software Engineering - Data Analytics,SeniorSoftwareEngineering,United States,United States,False,False,,2026-06-24T11:05:38.824404Z,2026-06-24T11:05:38.824404Z,https://www.scoutjob.me/jobs/jpmorgan-manager-of-software-engineering-data-analytics-210729225,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/210729225
eeab4817-f35e-4da7-a873-79b75f501d73,JPMorgan Chase,jpmorgan,Lead Software Engineer - Cloud Engineer,SeniorSoftwareEngineering,United States,United States,False,False,,2026-06-24T11:05:38.602929Z,2026-06-24T11:05:38.602929Z,https://www.scoutjob.me/jobs/jpmorgan-lead-software-engineer-cloud-engineer-210738043,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/210738043
725d8fdd-c609-4552-a3bd-f24112638da3,Zoom,zoom,Machine Learning Engineer,DataAiMl,United States,United States,False,False,,2026-06-24T10:57:28.958337Z,2026-06-24T10:57:28.958337Z,https://www.scoutjob.me/jobs/zoom-machine-learning-engineer-machine-learning-engineer-seattle-washington-united-states-26d8d29f-52dd-4db0-b3d7-79450d9,https://careers.zoom.us/jobs/machine-learning-engineer-seattle-washington-united-states-26d8d29f-52dd-4db0-b3d7-79450d9ffa23
cc6a07eb-7d32-41d7-a5e1-1d1d0df7e852,JPMorgan Chase,jpmorgan,Senior Lead Software Engineer - Front Office Trading,SeniorSoftwareEngineering,United States,United States,False,False,,2026-06-24T10:55:11.453168Z,2026-06-24T10:55:11.453168Z,https://www.scoutjob.me/jobs/jpmorgan-senior-lead-software-engineer-front-office-trading-210739992,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/210739992
403c9c56-8d1e-4669-b48b-a39310b9e125,JPMorgan Chase,jpmorgan,Lead Software Engineer - Java Full Stack,SeniorSoftwareEngineering,India,India,False,False,,2026-06-24T10:55:11.432319Z,2026-06-24T10:55:11.432319Z,https://www.scoutjob.me/jobs/jpmorgan-lead-software-engineer-java-full-stack-210745415,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/210745415
736f1c0e-1071-4f2c-910e-7e75ec8288f0,JPMorgan Chase,jpmorgan,Senior Manager of Software Engineering -Front office trading,SeniorSoftwareEngineering,United States,United States,False,False,,2026-06-24T10:55:11.414094Z,2026-06-24T10:55:11.414094Z,https://www.scoutjob.me/jobs/jpmorgan-senior-manager-of-software-engineering-front-office-trading-210739891,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/210739891
